Airport Name,Location,Continent
Singapore Changi, Changi-East Region-Singapore, Asia
O'Hare International Airport, Chicago-Illinois-United States ,North America
Beijing Capital International Airport,Chaoyang Shunyi-Beijing-China,Asia
Dubai International Airport,Garhoud-Dubai-United Arab Emirates,Asia
Tokyo Haneda Airport,Ōta-Tokyo-Japan,Asia
London Heathrow Airport, Hillingdon-London-United Kingdom,Europe
Shanghai Pudong International Airport, Pudong-Shanghai-China,Asia
Amsterdam Airport Schiphol,Haarlemmermeer-North Holland-Netherlands,Europe
Frankfurt Airport,Frankfurt-Hesse-Germany,Europe
John F. Kennedy International Airport,Queens-New York-United States,North America
Madrid Barajas Airport,Barajas-Madrid-Spain,Europe
Istanbul Airport,Arnavutköy-Istanbul-Turkey,Europe
Heathrow Airport,London-United Kingdom,Europe
Charles de Gaulle Airport,Paris-France,Europe
Dallas/Fort Worth International Airport,Dallas-Fort Worth-Texas-United States,North America
Sao Paulo-Guarrulhos International Airport,Sao-Paulo-Brazil,South America
El Dorado International Airport,Bogota-Columbia,South America
Jorge Chavez International Airport,Lima-Peru,South America
Bole International Airport,Addis Ababa-Ethiopia,Africa
Cape Town International Airport,Cape Town-South Africa,Africa
Los Angeles International Airport,Los Angeles-California-United States,North America
Denver International Airport,Denver-Colorado-United States,North America